區域別,年底人口數,土地面積,人口密度,年度人口數
新北市板橋區,554247,23.1373,23955,554247
新北市三重區,383108,16.317,23479,383108
新北市中和區,407273,20.144,20218,407273
新北市永和區,214771,5.7138,37588,214771
新北市新莊區,423607,19.7383,21461,423607
新北市新店區,304868,120.2255,2536,304868
新北市樹林區,180658,33.1288,5453,180658
新北市鶯歌區,89080,21.1248,4217,89080
新北市三峽區,115608,191.4508,604,115608
新北市淡水區,194399,70.6565,2751,194399
新北市汐止區,209481,71.2354,2941,209481
新北市瑞芳區,37197,70.7336,526,37197
新北市土城區,240828,29.5578,8148,240828
新北市蘆洲區,200022,7.4351,26902,200022
新北市五股區,92754,34.8632,2661,92754
新北市泰山區,77491,19.1603,4044,77491
新北市林口區,132947,54.1519,2455,132947
新北市深坑區,23689,20.5787,1151,23689
新北市石碇區,7166,144.3498,50,7166
新北市坪林區,6446,170.835,38,6446
新北市三芝區,22137,65.9909,335,22137
新北市石門區,10752,51.2645,210,10752
新北市八里區,41966,39.4933,1063,41966
新北市平溪區,4134,71.3382,58,4134
新北市雙溪區,7915,146.2484,54,7915
新北市貢寮區,10981,99.9734,110,10981
新北市金山區,20366,49.2132,414,20366
新北市萬里區,20869,63.3766,329,20869
新北市烏來區,6360,321.1306,20,6360
臺北市松山區,193399,9.2878,20823,193399
臺北市信義區,206759,11.2077,18448,206759
臺北市大安區,291732,11.3614,25677,291732
臺北市中山區,216346,13.6821,15812,216346
臺北市中正區,150155,7.6071,19739,150155
臺北市大同區,119930,5.6815,21109,119930
臺北市萬華區,173652,8.8522,19617,173652
臺北市文山區,260313,31.509,8262,260313
臺北市南港區,113959,21.8424,5217,113959
臺北市內湖區,276180,31.5787,8746,276180
臺北市士林區,266951,62.3682,4280,266951
臺北市北投區,242510,56.8216,4268,242510
桃園市桃園區,470683,34.8046,13524,470683
桃園市中壢區,431255,76.52,5636,431255
桃園市大溪區,94607,105.1206,900,94607
桃園市楊梅區,180032,89.1229,2020,180032
桃園市蘆竹區,169237,75.5025,2241,169237
桃園市大園區,86634,87.3925,991,86634
桃園市龜山區,178297,72.0177,2476,178297
桃園市八德區,213403,33.7111,6330,213403
桃園市龍潭區,126603,75.2341,1683,126603
桃園市平鎮區,229686,47.7532,4810,229686
桃園市新屋區,49277,85.0166,580,49277
桃園市觀音區,74521,87.9807,847,74521
桃園市復興區,13210,350.7775,38,13210
臺中市中區,17784,0.8803,20202,17784
臺中市東區,76852,9.2855,8277,76852
臺中市南區,126907,6.8101,18635,126907
臺中市西區,113548,5.7042,19906,113548
臺中市北區,144097,6.9376,20770,144097
臺中市西屯區,235441,39.8467,5909,235441
臺中市南屯區,182232,31.2578,5830,182232
臺中市北屯區,304179,62.7034,4851,304179
臺中市豐原區,163948,41.1845,3981,163948
臺中市東勢區,47468,117.4065,404,47468
臺中市大甲區,74684,58.5192,1276,74684
臺中市清水區,89924,64.1709,1401,89924
臺中市沙鹿區,98805,40.4604,2442,98805
臺中市梧棲區,61019,16.6049,3675,61019
臺中市后里區,53653,58.9439,910,53653
臺中市神岡區,64362,35.0445,1837,64362
臺中市潭子區,108979,25.8497,4216,108979
臺中市大雅區,95708,32.4109,2953,95708
臺中市新社區,23089,68.8874,335,23089
臺中市石岡區,14093,18.2105,774,14093
臺中市外埔區,31163,42.4099,735,31163
臺中市大安區,18073,27.4045,659,18073
臺中市烏日區,80194,43.4032,1848,80194
臺中市大肚區,55955,37.0024,1512,55955
臺中市龍井區,78413,38.0377,2061,78413
臺中市霧峰區,63822,98.0779,651,63822
臺中市太平區,198212,120.7473,1642,198212
臺中市大里區,212511,28.8758,7359,212511
臺中市和平區,10794,1037.8192,10,10794
臺南市新營區,74921,38.5386,1944,74921
臺南市鹽水區,24251,52.2455,464,24251
臺南市白河區,25862,126.4046,205,25862
臺南市柳營區,20306,61.2929,331,20306
臺南市後壁區,21616,72.2189,299,21616
臺南市東山區,19156,124.9178,153,19156
臺南市麻豆區,43056,53.9744,798,43056
臺南市下營區,22420,33.5291,669,22420
臺南市六甲區,21189,67.5471,314,21189
臺南市官田區,20835,70.7953,294,20835
臺南市大內區,8728,70.3125,124,8728
臺南市佳里區,58232,38.9422,1495,58232
臺南市學甲區,24672,53.9919,457,24672
臺南市西港區,24990,33.7666,740,24990
臺南市七股區,21210,110.1492,193,21210
臺南市將軍區,18255,41.9796,435,18255
臺南市北門區,9994,44.1003,227,9994
臺南市新化區,42793,62.0579,690,42793
臺南市善化區,52444,55.3097,948,52444
臺南市新市區,37624,47.8096,787,37624
臺南市安定區,29926,31.27,957,29926
臺南市山上區,7018,27.878,252,7018
臺南市玉井區,13043,76.3662,171,13043
臺南市楠西區,8708,109.6316,79,8708
臺南市南化區,7996,171.5198,47,7996
臺南市左鎮區,4231,74.9025,56,4231
臺南市仁德區,77312,50.7664,1523,77312
臺南市歸仁區,68726,55.7913,1232,68726
臺南市關廟區,33270,53.6413,620,33270
臺南市龍崎區,3476,64.0814,54,3476
臺南市永康區,234953,40.2753,5834,234953
臺南市東區,182034,13.4156,13569,182034
臺南市南區,121189,27.2681,4444,121189
臺南市北區,126575,10.434,12131,126575
臺南市安南區,201824,107.2016,1883,201824
臺南市安平區,69015,11.0663,6237,69015
臺南市中西區,78096,6.26,12475,78096
高雄市鹽埕區,22539,1.4161,15916,22539
高雄市鼓山區,140701,14.7523,9538,140701
高雄市左營區,197276,19.3823,10178,197276
高雄市楠梓區,193139,25.8276,7478,193139
高雄市三民區,331995,19.7866,16779,331995
高雄市新興區,49598,1.9764,25095,49598
高雄市前金區,27098,1.8573,14590,27098
高雄市苓雅區,163838,8.1522,20097,163838
高雄市前鎮區,179854,19.1207,9406,179854
高雄市旗津區,26220,1.7341,15120,26220
高雄市小港區,155009,45.4426,3411,155009
高雄市鳳山區,356536,26.759,13324,356536
高雄市林園區,68216,32.286,2113,68216
高雄市大寮區,111986,71.04,1576,111986
高雄市大樹區,40432,66.9811,604,40432
高雄市大社區,33729,26.5848,1269,33729
高雄市仁武區,97337,36.0808,2698,97337
高雄市鳥松區,44373,24.5927,1804,44373
高雄市岡山區,95574,47.9421,1994,95574
高雄市橋頭區,41712,25.9379,1608,41712
高雄市燕巢區,28776,65.395,440,28776
高雄市田寮區,6530,92.6802,70,6530
高雄市阿蓮區,27409,34.6164,792,27409
高雄市路竹區,50355,48.4348,1040,50355
高雄市湖內區,29525,20.1615,1464,29525
高雄市茄萣區,29241,15.7624,1855,29241
高雄市永安區,13863,22.6141,613,13863
高雄市彌陀區,18273,14.7772,1237,18273
高雄市梓官區,34813,11.5967,3002,34813
高雄市旗山區,34304,94.6122,363,34304
高雄市美濃區,37008,120.0316,308,37008
高雄市六龜區,11700,194.1584,60,11700
高雄市甲仙區,5543,124.034,45,5543
高雄市杉林區,10955,104.0036,105,10955
高雄市內門區,13184,95.6224,138,13184
高雄市茂林區,1905,194.0,10,1905
高雄市桃源區,4230,928.98,5,4230
高雄市那瑪夏區,3165,252.9895,13,3165
宜蘭縣宜蘭市,94991,29.408,3230,94991
宜蘭縣羅東鎮,69960,11.3448,6167,69960
宜蘭縣蘇澳鎮,37458,89.0196,421,37458
宜蘭縣頭城鎮,28292,100.893,280,28292
宜蘭縣礁溪鄉,34948,101.4278,345,34948
宜蘭縣壯圍鄉,24380,38.4769,634,24380
宜蘭縣員山鄉,32138,111.9106,287,32138
宜蘭縣冬山鄉,53249,79.8573,667,53249
宜蘭縣五結鄉,41052,38.8671,1056,41052
宜蘭縣三星鄉,21272,144.2238,147,21272
宜蘭縣大同鄉,6036,657.5442,9,6036
宜蘭縣南澳鄉,6114,740.652,8,6114
新竹縣竹北市,215952,46.8341,4611,215952
新竹縣關西鎮,26825,125.5193,214,26825
新竹縣新埔鎮,33234,72.1911,460,33234
新竹縣竹東鎮,96906,53.5133,1811,96906
新竹縣湖口鄉,82617,58.4303,1414,82617
新竹縣橫山鄉,12186,66.3502,184,12186
新竹縣新豐鄉,58956,46.3496,1272,58956
新竹縣芎林鄉,20377,40.7858,500,20377
新竹縣寶山鄉,14507,64.7871,224,14507
新竹縣北埔鄉,8543,50.6676,169,8543
新竹縣峨眉鄉,5192,46.801,111,5192
新竹縣尖石鄉,9552,527.5795,18,9552
新竹縣五峰鄉,4442,227.728,20,4442
苗栗縣苗栗市,86307,37.8878,2278,86307
苗栗縣頭份市,106350,53.3205,1995,106350
苗栗縣苑裡鎮,43728,68.2473,641,43728
苗栗縣通霄鎮,31300,107.8486,290,31300
苗栗縣竹南鎮,89708,37.5592,2388,89708
苗栗縣後龍鎮,34113,75.8079,450,34113
苗栗縣卓蘭鎮,15212,76.3153,199,15212
苗栗縣大湖鄉,12964,90.8396,143,12964
苗栗縣公館鄉,31235,71.4523,437,31235
苗栗縣銅鑼鄉,16505,78.3805,211,16505
苗栗縣南庄鄉,8843,165.4938,53,8843
苗栗縣頭屋鄉,9788,52.5046,186,9788
苗栗縣三義鄉,14949,69.3424,216,14949
苗栗縣西湖鄉,6258,41.0758,152,6258
苗栗縣造橋鄉,11602,47.9978,242,11602
苗栗縣三灣鄉,5975,52.2964,114,5975
苗栗縣獅潭鄉,4095,79.4324,52,4095
苗栗縣泰安鄉,5643,614.5127,9,5643
彰化縣彰化市,226046,65.6947,3441,226046
彰化縣員林市,123004,40.038,3072,123004
彰化縣鹿港鎮,84643,39.4625,2145,84643
彰化縣和美鎮,88046,39.9345,2205,88046
彰化縣北斗鎮,33294,19.2547,1729,33294
彰化縣溪湖鎮,53898,32.0592,1681,53898
彰化縣田中鎮,39336,34.6056,1137,39336
彰化縣二林鎮,47898,92.8478,516,47898
彰化縣線西鄉,16203,18.0856,896,16203
彰化縣伸港鄉,38491,22.3268,1724,38491
彰化縣福興鄉,45186,49.8934,906,45186
彰化縣秀水鄉,38141,29.3447,1300,38141
彰化縣花壇鄉,43936,36.3469,1209,43936
彰化縣芬園鄉,22202,38.0204,584,22202
彰化縣大村鄉,40104,30.7837,1303,40104
彰化縣埔鹽鄉,31048,38.6081,804,31048
彰化縣埔心鄉,33625,20.9526,1605,33625
彰化縣永靖鄉,35166,20.6382,1704,35166
彰化縣社頭鄉,41415,36.1449,1146,41415
彰化縣二水鄉,13855,29.4449,471,13855
彰化縣田尾鄉,25897,24.0375,1077,25897
彰化縣埤頭鄉,28946,42.7508,677,28946
彰化縣芳苑鄉,31131,91.3827,341,31131
彰化縣大城鄉,14992,63.7406,235,14992
彰化縣竹塘鄉,14297,42.1662,339,14297
彰化縣溪州鄉,28248,75.831,373,28248
南投縣南投市,97450,71.6021,1361,97450
南投縣埔里鎮,77035,162.2227,475,77035
南投縣草屯鎮,97120,104.0327,934,97120
南投縣竹山鎮,51450,247.3339,208,51450
南投縣集集鎮,9924,49.7268,200,9924
南投縣名間鄉,35801,83.0955,431,35801
南投縣鹿谷鄉,16182,141.8981,114,16182
南投縣中寮鄉,13528,146.6541,92,13528
南投縣魚池鄉,14687,121.3735,121,14687
南投縣國姓鄉,16884,175.7042,96,16884
南投縣水里鄉,16085,106.8424,151,16085
南投縣信義鄉,15410,1422.4188,11,15410
南投縣仁愛鄉,15538,1273.5312,12,15538
雲林縣斗六市,108172,93.7151,1154,108172
雲林縣斗南鎮,43218,48.1505,898,43218
雲林縣虎尾鎮,70386,68.742,1024,70386
雲林縣西螺鎮,44494,49.7985,893,44494
雲林縣土庫鎮,27513,49.0212,561,27513
雲林縣北港鎮,37534,41.4999,904,37534
雲林縣古坑鄉,29846,166.6059,179,29846
雲林縣大埤鄉,17929,44.9973,398,17929
雲林縣莿桐鄉,27367,50.8502,538,27367
雲林縣林內鄉,16635,37.6035,442,16635
雲林縣二崙鄉,24848,59.5625,417,24848
雲林縣崙背鄉,22853,58.484,391,22853
雲林縣麥寮鄉,49533,80.1668,618,49533
雲林縣東勢鄉,13399,48.3562,277,13399
雲林縣褒忠鄉,11889,37.0552,321,11889
雲林縣臺西鄉,21739,54.0983,402,21739
雲林縣元長鄉,23371,71.5872,326,23371
雲林縣四湖鄉,21017,77.1189,273,21017
雲林縣口湖鄉,24985,80.4612,311,24985
雲林縣水林鄉,22740,72.9582,312,22740
嘉義縣太保市,39299,66.8964,587,39299
嘉義縣朴子市,40705,49.5737,821,40705
嘉義縣布袋鎮,24622,61.7307,399,24622
嘉義縣大林鎮,29815,64.1663,465,29815
嘉義縣民雄鄉,70248,85.4969,822,70248
嘉義縣溪口鄉,13238,33.0463,401,13238
嘉義縣新港鄉,30094,66.0495,456,30094
嘉義縣六腳鄉,20889,62.2619,336,20889
嘉義縣東石鄉,22749,81.5821,279,22749
嘉義縣義竹鄉,16633,79.2925,210,16633
嘉義縣鹿草鄉,14123,54.3151,260,14123
嘉義縣水上鄉,47727,69.1198,690,47727
嘉義縣中埔鄉,42690,129.5016,330,42690
嘉義縣竹崎鄉,33308,162.2256,205,33308
嘉義縣梅山鄉,17805,119.7571,149,17805
嘉義縣番路鄉,10867,117.5269,92,10867
嘉義縣大埔鄉,4444,173.2472,26,4444
嘉義縣阿里山鄉,5304,427.8471,12,5304
屏東縣屏東市,193810,65.067,2979,193810
屏東縣潮州鎮,53325,42.4331,1257,53325
屏東縣東港鎮,45946,29.4635,1559,45946
屏東縣恆春鎮,29747,136.763,218,29747
屏東縣萬丹鄉,49252,57.4679,857,49252
屏東縣長治鄉,29190,39.8861,732,29190
屏東縣麟洛鄉,10544,16.26,648,10544
屏東縣九如鄉,21639,42.0187,515,21639
屏東縣里港鄉,25623,68.9208,372,25623
屏東縣鹽埔鄉,23976,64.3493,373,23976
屏東縣高樹鄉,22764,90.1522,253,22764
屏東縣萬巒鄉,19239,60.7315,317,19239
屏東縣內埔鄉,52501,81.8554,641,52501
屏東縣竹田鄉,15807,29.0732,544,15807
屏東縣新埤鄉,9353,59.0102,158,9353
屏東縣枋寮鄉,22757,57.7347,394,22757
屏東縣新園鄉,32674,38.3109,853,32674
屏東縣崁頂鄉,15245,31.2659,488,15245
屏東縣林邊鄉,16449,15.6233,1053,16449
屏東縣南州鄉,9882,18.97,521,9882
屏東縣佳冬鄉,17888,30.9842,577,17888
屏東縣琉球鄉,12265,6.8018,1803,12265
屏東縣車城鄉,8029,49.8517,161,8029
屏東縣滿州鄉,7235,142.2013,51,7235
屏東縣枋山鄉,5013,17.2697,290,5013
屏東縣三地門鄉,7742,196.3965,39,7742
屏東縣霧臺鄉,3265,278.796,12,3265
屏東縣瑪家鄉,6749,78.7008,86,6749
屏東縣泰武鄉,5291,118.6266,45,5291
屏東縣來義鄉,7390,167.7756,44,7390
屏東縣春日鄉,4874,160.001,30,4874
屏東縣獅子鄉,4777,301.0018,16,4777
屏東縣牡丹鄉,4756,181.8366,26,4756
臺東縣臺東市,103281,109.7691,941,103281
臺東縣成功鎮,13078,143.9939,91,13078
臺東縣關山鎮,8052,58.7351,137,8052
臺東縣卑南鄉,16601,412.6871,40,16601
臺東縣大武鄉,5553,69.1454,80,5553
臺東縣太麻里鄉,10679,96.6523,110,10679
臺東縣東河鄉,7896,210.1908,38,7896
臺東縣長濱鄉,6649,155.1868,43,6649
臺東縣鹿野鄉,7193,89.698,80,7193
臺東縣池上鄉,7858,82.6854,95,7858
臺東縣綠島鄉,4373,15.0919,290,4373
臺東縣延平鄉,3567,455.8805,8,3567
臺東縣海端鄉,4275,880.0382,5,4275
臺東縣達仁鄉,3439,306.4454,11,3439
臺東縣金峰鄉,3732,380.6635,10,3732
臺東縣蘭嶼鄉,5318,48.3892,110,5318
花蓮縣花蓮市,99043,29.4095,3368,99043
花蓮縣鳳林鎮,10435,120.5181,87,10435
花蓮縣玉里鎮,22034,252.3719,87,22034
花蓮縣新城鄉,20307,29.4095,690,20307
花蓮縣吉安鄉,83175,65.2582,1275,83175
花蓮縣壽豐鄉,16903,218.4448,77,16903
花蓮縣光復鄉,11739,157.11,75,11739
花蓮縣豐濱鄉,4213,162.4332,26,4213
花蓮縣瑞穗鄉,10755,135.5862,79,10755
花蓮縣富里鄉,9627,176.3705,55,9627
花蓮縣秀林鄉,17200,1641.8555,10,17200
花蓮縣萬榮鄉,6085,618.491,10,6085
花蓮縣卓溪鄉,5973,1021.313,6,5973
澎湖縣馬公市,63957,33.9918,1882,63957
澎湖縣湖西鄉,16059,33.3008,482,16059
澎湖縣白沙鄉,10087,20.0875,502,10087
澎湖縣西嶼鄉,8290,18.7148,443,8290
澎湖縣望安鄉,5409,13.7824,392,5409
澎湖縣七美鄉,3937,6.9868,563,3937
基隆市中正區,50646,10.2118,4960,50646
基隆市七堵區,52757,56.2659,938,52757
基隆市暖暖區,38450,22.8283,1684,38450
基隆市仁愛區,41131,4.2335,9716,41131
基隆市中山區,45459,10.5238,4320,45459
基隆市安樂區,80440,18.025,4463,80440
基隆市信義區,53372,10.6706,5002,53372
新竹市東區,223826,33.5768,6666,223826
新竹市北區,153759,15.7267,9777,153759
新竹市香山區,78890,54.8491,1438,78890
嘉義市東區,117993,30.1556,3913,117993
嘉義市西區,145591,29.87,4874,145591
金門縣金城鎮,43192,21.713,1989,43192
金門縣金湖鎮,31269,41.696,750,31269
金門縣金沙鎮,20858,41.19,506,20858
金門縣金寧鄉,35400,29.854,1186,35400
金門縣烈嶼鄉,12766,16.003,798,12766
金門縣烏坵鄉,664,1.2,553,664
連江縣南竿鄉,7827,10.4,753,7827
連江縣北竿鄉,3136,9.9,317,3136
連江縣莒光鄉,1504,4.7,320,1504
連江縣東引鄉,1572,3.8,414,1572
東沙群島,… ,2.38,0,0
南沙群島,… ,0.5045,0,0
